0.00.019.798 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.019.815 W srv  llama_server: embeddings enabled with n_batch (2048) > n_ubatch (512)
0.00.019.817 W srv  llama_server: setting n_batch = n_ubatch = 512 to avoid assertion failure
0.00.019.923 I srv          init: The UI is disabled
0.00.019.924 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.022.426 I srv    load_model: loading model 'models/bge-small-en-v1.5-q8.gguf'
0.00.088.449 W load: special_eos_id is not in special_eog_ids - the tokenizer config may be incorrect
0.00.107.581 W srv    load_model: speculative decoding not supported by this context
0.00.107.587 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 512, kv_unified = 'true'
0.00.110.368 I srv  llama_server: model loaded
0.00.110.375 I srv  llama_server: listening on http://127.0.0.1:8090
3.23.375.437 I slot launch_slot_: id  3 | task 106 | processing task, is_child = 0
3.23.378.495 I slot      release: id  3 | task 106 | stop processing: n_tokens = 15, truncated = 0
3.23.379.501 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.125 (> 0.100 thold), f_keep = 0.067
3.23.379.510 I slot launch_slot_: id  3 | task 108 | processing task, is_child = 0
3.23.381.155 I slot      release: id  3 | task 108 | stop processing: n_tokens = 8, truncated = 0
3.23.382.085 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.125 (> 0.100 thold), f_keep = 0.125
3.23.382.090 I slot launch_slot_: id  3 | task 110 | processing task, is_child = 0
3.23.383.985 I slot      release: id  3 | task 110 | stop processing: n_tokens = 8, truncated = 0
3.23.384.897 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.125 (> 0.100 thold), f_keep = 0.125
3.23.384.902 I slot launch_slot_: id  3 | task 112 | processing task, is_child = 0
3.23.386.804 I slot      release: id  3 | task 112 | stop processing: n_tokens = 8, truncated = 0
3.23.400.361 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 203267024
3.23.400.368 I slot launch_slot_: id  2 | task 114 | processing task, is_child = 0
3.23.403.786 I slot      release: id  2 | task 114 | stop processing: n_tokens = 18, truncated = 0
3.23.405.031 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 0.125 (> 0.100 thold), f_keep = 0.056
3.23.405.038 I slot launch_slot_: id  2 | task 116 | processing task, is_child = 0
3.23.406.935 I slot      release: id  2 | task 116 | stop processing: n_tokens = 8, truncated = 0
3.23.432.345 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 203279402
3.23.432.354 I slot launch_slot_: id  1 | task 118 | processing task, is_child = 0
3.23.434.707 I slot      release: id  1 | task 118 | stop processing: n_tokens = 12, truncated = 0
3.23.448.375 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.167 (> 0.100 thold), f_keep = 0.083
3.23.448.383 I slot launch_slot_: id  1 | task 120 | processing task, is_child = 0
3.23.450.117 I slot      release: id  1 | task 120 | stop processing: n_tokens = 6, truncated = 0
3.23.451.281 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 203313877
3.23.451.288 I slot launch_slot_: id  0 | task 122 | processing task, is_child = 0
3.23.453.961 I slot      release: id  0 | task 122 | stop processing: n_tokens = 12, truncated = 0
3.23.454.898 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.400 (> 0.100 thold), f_keep = 0.167
3.23.454.905 I slot launch_slot_: id  0 | task 124 | processing task, is_child = 0
3.23.456.321 I slot      release: id  0 | task 124 | stop processing: n_tokens = 5, truncated = 0
3.23.457.211 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.167 (> 0.100 thold), f_keep = 0.200
3.23.457.218 I slot launch_slot_: id  0 | task 126 | processing task, is_child = 0
3.23.458.837 I slot      release: id  0 | task 126 | stop processing: n_tokens = 6, truncated = 0
3.23.459.762 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.167 (> 0.100 thold), f_keep = 0.167
3.23.459.771 I slot launch_slot_: id  0 | task 128 | processing task, is_child = 0
3.23.461.145 I slot      release: id  0 | task 128 | stop processing: n_tokens = 6, truncated = 0
3.23.479.441 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 203326201
3.23.479.449 I slot launch_slot_: id  3 | task 130 | processing task, is_child = 0
3.23.482.710 I slot      release: id  3 | task 130 | stop processing: n_tokens = 19, truncated = 0
3.23.483.738 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.143 (> 0.100 thold), f_keep = 0.053
3.23.483.744 I slot launch_slot_: id  3 | task 132 | processing task, is_child = 0
3.23.485.484 I slot      release: id  3 | task 132 | stop processing: n_tokens = 7, truncated = 0
3.23.510.327 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.125 (> 0.100 thold), f_keep = 0.143
3.23.510.335 I slot launch_slot_: id  3 | task 134 | processing task, is_child = 0
3.23.512.244 I slot      release: id  3 | task 134 | stop processing: n_tokens = 8, truncated = 0
3.23.513.278 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.125 (> 0.100 thold), f_keep = 0.125
3.23.513.285 I slot launch_slot_: id  3 | task 136 | processing task, is_child = 0
3.23.514.905 I slot      release: id  3 | task 136 | stop processing: n_tokens = 8, truncated = 0
3.23.515.744 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 203346334
3.23.515.752 I slot launch_slot_: id  2 | task 138 | processing task, is_child = 0
3.23.517.758 I slot      release: id  2 | task 138 | stop processing: n_tokens = 11, truncated = 0
3.23.518.641 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 0.400 (> 0.100 thold), f_keep = 0.182
3.23.518.649 I slot launch_slot_: id  2 | task 140 | processing task, is_child = 0
3.23.520.055 I slot      release: id  2 | task 140 | stop processing: n_tokens = 5, truncated = 0
3.23.520.960 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 0.143 (> 0.100 thold), f_keep = 0.200
3.23.520.965 I slot launch_slot_: id  2 | task 142 | processing task, is_child = 0
3.23.522.645 I slot      release: id  2 | task 142 | stop processing: n_tokens = 7, truncated = 0
3.23.523.502 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 0.200 (> 0.100 thold), f_keep = 0.143
3.23.523.508 I slot launch_slot_: id  2 | task 144 | processing task, is_child = 0
3.23.524.937 I slot      release: id  2 | task 144 | stop processing: n_tokens = 5, truncated = 0
3.23.525.921 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 203389515
3.23.525.928 I slot launch_slot_: id  1 | task 146 | processing task, is_child = 0
3.23.529.332 I slot      release: id  1 | task 146 | stop processing: n_tokens = 17, truncated = 0
3.23.530.260 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.167 (> 0.100 thold), f_keep = 0.059
3.23.530.267 I slot launch_slot_: id  1 | task 148 | processing task, is_child = 0
3.23.531.871 I slot      release: id  1 | task 148 | stop processing: n_tokens = 6, truncated = 0
3.23.532.785 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.125 (> 0.100 thold), f_keep = 0.167
3.23.532.793 I slot launch_slot_: id  1 | task 150 | processing task, is_child = 0
3.23.534.665 I slot      release: id  1 | task 150 | stop processing: n_tokens = 8, truncated = 0
3.23.535.661 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.111 (> 0.100 thold), f_keep = 0.125
3.23.535.666 I slot launch_slot_: id  1 | task 152 | processing task, is_child = 0
3.23.537.746 I slot      release: id  1 | task 152 | stop processing: n_tokens = 9, truncated = 0
3.23.556.414 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 203400543
3.23.556.421 I slot launch_slot_: id  0 | task 154 | processing task, is_child = 0
3.23.560.645 I slot      release: id  0 | task 154 | stop processing: n_tokens = 22, truncated = 0
3.23.561.734 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.143 (> 0.100 thold), f_keep = 0.045
3.23.561.741 I slot launch_slot_: id  0 | task 156 | processing task, is_child = 0
3.23.563.423 I slot      release: id  0 | task 156 | stop processing: n_tokens = 7, truncated = 0
3.23.564.596 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.125 (> 0.100 thold), f_keep = 0.143
3.23.564.602 I slot launch_slot_: id  0 | task 158 | processing task, is_child = 0
3.23.566.464 I slot      release: id  0 | task 158 | stop processing: n_tokens = 8, truncated = 0
3.23.567.394 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.125 (> 0.100 thold), f_keep = 0.125
3.23.567.401 I slot launch_slot_: id  0 | task 160 | processing task, is_child = 0
3.23.569.250 I slot      release: id  0 | task 160 | stop processing: n_tokens = 8, truncated = 0
3.23.570.139 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.111 (> 0.100 thold), f_keep = 0.125
3.23.570.145 I slot launch_slot_: id  0 | task 162 | processing task, is_child = 0
3.23.572.241 I slot      release: id  0 | task 162 | stop processing: n_tokens = 9, truncated = 0
3.23.588.332 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.400 (> 0.100 thold), f_keep = 0.222
3.23.588.340 I slot launch_slot_: id  0 | task 164 | processing task, is_child = 0
3.23.589.514 I slot      release: id  0 | task 164 | stop processing: n_tokens = 5, truncated = 0
3.23.590.600 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.143 (> 0.100 thold), f_keep = 0.200
3.23.590.607 I slot launch_slot_: id  0 | task 166 | processing task, is_child = 0
3.23.592.401 I slot      release: id  0 | task 166 | stop processing: n_tokens = 7, truncated = 0
3.23.593.356 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.200 (> 0.100 thold), f_keep = 0.143
3.23.593.361 I slot launch_slot_: id  0 | task 168 | processing task, is_child = 0
3.23.594.737 I slot      release: id  0 | task 168 | stop processing: n_tokens = 5, truncated = 0
3.23.595.914 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 203454302
3.23.595.919 I slot launch_slot_: id  3 | task 170 | processing task, is_child = 0
3.23.598.816 I slot      release: id  3 | task 170 | stop processing: n_tokens = 14, truncated = 0
