0.00.019.696 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.019.710 W srv  llama_server: embeddings enabled with n_batch (2048) > n_ubatch (512)
0.00.019.714 W srv  llama_server: setting n_batch = n_ubatch = 512 to avoid assertion failure
0.00.019.817 I srv          init: The UI is disabled
0.00.019.820 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.026.316 I srv    load_model: loading model './models/bge-small-en-v1.5-q8.gguf'
0.00.093.894 W load: special_eos_id is not in special_eog_ids - the tokenizer config may be incorrect
0.00.115.649 W srv    load_model: speculative decoding not supported by this context
0.00.115.655 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 512, kv_unified = 'true'
0.00.119.153 I srv  llama_server: model loaded
0.00.119.159 I srv  llama_server: listening on http://127.0.0.1:8091
0.07.992.777 I slot launch_slot_: id  1 | task 72 | processing task, is_child = 0
0.07.994.901 I slot      release: id  1 | task 72 | stop processing: n_tokens = 8, truncated = 0
0.08.008.852 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 7803752
0.08.008.862 I slot launch_slot_: id  0 | task 74 | processing task, is_child = 0
0.08.012.250 I slot      release: id  0 | task 74 | stop processing: n_tokens = 17, truncated = 0
0.08.024.926 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.167 (> 0.100 thold), f_keep = 0.059
0.08.024.948 I slot launch_slot_: id  0 | task 76 | processing task, is_child = 0
0.08.027.723 I slot      release: id  0 | task 76 | stop processing: n_tokens = 6, truncated = 0
0.08.040.757 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.125 (> 0.100 thold), f_keep = 0.167
0.08.040.764 I slot launch_slot_: id  0 | task 78 | processing task, is_child = 0
0.08.043.218 I slot      release: id  0 | task 78 | stop processing: n_tokens = 8, truncated = 0
0.08.055.853 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.111 (> 0.100 thold), f_keep = 0.125
0.08.055.863 I slot launch_slot_: id  0 | task 80 | processing task, is_child = 0
0.08.058.478 I slot      release: id  0 | task 80 | stop processing: n_tokens = 9, truncated = 0
0.08.071.234 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 7835530
0.08.071.244 I slot launch_slot_: id  3 | task 82 | processing task, is_child = 0
0.08.073.773 I slot      release: id  3 | task 82 | stop processing: n_tokens = 10, truncated = 0
0.08.075.110 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.400 (> 0.100 thold), f_keep = 0.200
0.08.075.118 I slot launch_slot_: id  3 | task 84 | processing task, is_child = 0
0.08.077.094 I slot      release: id  3 | task 84 | stop processing: n_tokens = 5, truncated = 0
0.08.103.203 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.143 (> 0.100 thold), f_keep = 0.200
0.08.103.212 I slot launch_slot_: id  3 | task 86 | processing task, is_child = 0
0.08.105.293 I slot      release: id  3 | task 86 | stop processing: n_tokens = 7, truncated = 0
0.08.119.216 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.200 (> 0.100 thold), f_keep = 0.143
0.08.119.226 I slot launch_slot_: id  3 | task 88 | processing task, is_child = 0
0.08.121.353 I slot      release: id  3 | task 88 | stop processing: n_tokens = 5, truncated = 0
0.08.122.727 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.111 (> 0.100 thold), f_keep = 0.200
0.08.122.733 I slot launch_slot_: id  3 | task 90 | processing task, is_child = 0
0.08.125.207 I slot      release: id  3 | task 90 | stop processing: n_tokens = 9, truncated = 0
0.08.126.372 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.400 (> 0.100 thold), f_keep = 0.222
0.08.126.377 I slot launch_slot_: id  3 | task 92 | processing task, is_child = 0
0.08.128.124 I slot      release: id  3 | task 92 | stop processing: n_tokens = 5, truncated = 0
0.08.151.293 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.143 (> 0.100 thold), f_keep = 0.200
0.08.151.302 I slot launch_slot_: id  3 | task 94 | processing task, is_child = 0
0.08.153.296 I slot      release: id  3 | task 94 | stop processing: n_tokens = 7, truncated = 0
