0.00.242.557 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.242.573 W srv  llama_server: embeddings enabled with n_batch (2048) > n_ubatch (512)
0.00.242.575 W srv  llama_server: setting n_batch = n_ubatch = 512 to avoid assertion failure
0.00.242.674 I srv          init: The UI is disabled
0.00.242.674 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.250.721 I srv    load_model: loading model './models/bge-small-en-v1.5-q8.gguf'
0.00.322.723 W load: special_eos_id is not in special_eog_ids - the tokenizer config may be incorrect
0.00.343.356 W srv    load_model: speculative decoding not supported by this context
0.00.343.362 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 512, kv_unified = 'true'
0.00.346.563 I srv  llama_server: model loaded
0.00.346.570 I srv  llama_server: listening on http://127.0.0.1:8091
3.00.563.074 I slot      release: id  1 | task 82 | stop processing: n_tokens = 6, truncated = 0
3.00.565.721 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.200 (> 0.100 thold), f_keep = 0.167
3.00.565.729 I slot launch_slot_: id  1 | task 84 | processing task, is_child = 0
3.00.567.463 I slot      release: id  1 | task 84 | stop processing: n_tokens = 5, truncated = 0
3.00.569.615 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.154 (> 0.100 thold), f_keep = 0.400
3.00.569.622 I slot launch_slot_: id  1 | task 86 | processing task, is_child = 0
3.00.571.979 I slot      release: id  1 | task 86 | stop processing: n_tokens = 13, truncated = 0
3.00.573.780 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.125 (> 0.100 thold), f_keep = 0.154
3.00.573.786 I slot launch_slot_: id  1 | task 88 | processing task, is_child = 0
3.00.576.708 I slot      release: id  1 | task 88 | stop processing: n_tokens = 16, truncated = 0
3.00.578.511 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.438 (> 0.100 thold), f_keep = 0.438
3.00.578.519 I slot launch_slot_: id  1 | task 90 | processing task, is_child = 0
3.00.581.573 I slot      release: id  1 | task 90 | stop processing: n_tokens = 16, truncated = 0
3.00.583.381 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.143 (> 0.100 thold), f_keep = 0.062
3.00.583.390 I slot launch_slot_: id  1 | task 92 | processing task, is_child = 0
3.00.585.170 I slot      release: id  1 | task 92 | stop processing: n_tokens = 7, truncated = 0
3.00.589.418 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.200 (> 0.100 thold), f_keep = 0.143
3.00.589.426 I slot launch_slot_: id  1 | task 94 | processing task, is_child = 0
3.00.590.863 I slot      release: id  1 | task 94 | stop processing: n_tokens = 5, truncated = 0
6.29.065.696 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.167 (> 0.100 thold), f_keep = 0.200
6.29.065.704 I slot launch_slot_: id  1 | task 96 | processing task, is_child = 0
6.29.067.841 I slot      release: id  1 | task 96 | stop processing: n_tokens = 6, truncated = 0
6.29.088.580 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.143 (> 0.100 thold), f_keep = 0.167
6.29.088.589 I slot launch_slot_: id  1 | task 98 | processing task, is_child = 0
6.29.090.823 I slot      release: id  1 | task 98 | stop processing: n_tokens = 7, truncated = 0
6.29.093.816 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.125 (> 0.100 thold), f_keep = 0.143
6.29.093.824 I slot launch_slot_: id  1 | task 100 | processing task, is_child = 0
6.29.095.961 I slot      release: id  1 | task 100 | stop processing: n_tokens = 8, truncated = 0
6.29.098.302 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.286 (> 0.100 thold), f_keep = 0.250
6.29.098.308 I slot launch_slot_: id  1 | task 102 | processing task, is_child = 0
6.29.100.060 I slot      release: id  1 | task 102 | stop processing: n_tokens = 7, truncated = 0
6.29.102.080 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.250 (> 0.100 thold), f_keep = 0.143
6.29.102.090 I slot launch_slot_: id  1 | task 104 | processing task, is_child = 0
6.29.103.497 I slot      release: id  1 | task 104 | stop processing: n_tokens = 4, truncated = 0
6.29.105.140 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.400 (> 0.100 thold), f_keep = 0.500
6.29.105.150 I slot launch_slot_: id  1 | task 106 | processing task, is_child = 0
6.29.106.772 I slot      release: id  1 | task 106 | stop processing: n_tokens = 5, truncated = 0
6.29.108.719 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.111 (> 0.100 thold), f_keep = 0.200
6.29.108.730 I slot launch_slot_: id  1 | task 108 | processing task, is_child = 0
6.29.110.491 I slot      release: id  1 | task 108 | stop processing: n_tokens = 9, truncated = 0
6.29.112.851 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.833 (> 0.100 thold), f_keep = 0.556
6.29.112.859 I slot launch_slot_: id  1 | task 110 | processing task, is_child = 0
6.29.114.377 I slot      release: id  1 | task 110 | stop processing: n_tokens = 6, truncated = 0
6.29.116.162 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.111 (> 0.100 thold), f_keep = 0.167
6.29.116.171 I slot launch_slot_: id  1 | task 112 | processing task, is_child = 0
6.29.117.965 I slot      release: id  1 | task 112 | stop processing: n_tokens = 9, truncated = 0
6.29.120.162 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.833 (> 0.100 thold), f_keep = 0.556
6.29.120.169 I slot launch_slot_: id  1 | task 114 | processing task, is_child = 0
6.29.121.718 I slot      release: id  1 | task 114 | stop processing: n_tokens = 6, truncated = 0
6.29.123.667 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.250 (> 0.100 thold), f_keep = 0.167
6.29.123.675 I slot launch_slot_: id  1 | task 116 | processing task, is_child = 0
6.29.125.029 I slot      release: id  1 | task 116 | stop processing: n_tokens = 4, truncated = 0
6.29.126.588 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.400 (> 0.100 thold), f_keep = 0.500
6.29.126.597 I slot launch_slot_: id  1 | task 118 | processing task, is_child = 0
6.29.128.215 I slot      release: id  1 | task 118 | stop processing: n_tokens = 5, truncated = 0
6.29.130.599 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.286 (> 0.100 thold), f_keep = 0.400
6.29.130.605 I slot launch_slot_: id  1 | task 120 | processing task, is_child = 0
6.29.132.315 I slot      release: id  1 | task 120 | stop processing: n_tokens = 7, truncated = 0
6.29.134.509 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.143 (> 0.100 thold), f_keep = 0.143
6.29.134.516 I slot launch_slot_: id  1 | task 122 | processing task, is_child = 0
6.29.136.305 I slot      release: id  1 | task 122 | stop processing: n_tokens = 7, truncated = 0
6.29.138.654 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.250 (> 0.100 thold), f_keep = 0.143
6.29.138.660 I slot launch_slot_: id  1 | task 124 | processing task, is_child = 0
6.29.140.021 I slot      release: id  1 | task 124 | stop processing: n_tokens = 4, truncated = 0
6.29.141.728 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.400 (> 0.100 thold), f_keep = 0.500
6.29.141.734 I slot launch_slot_: id  1 | task 126 | processing task, is_child = 0
6.29.143.290 I slot      release: id  1 | task 126 | stop processing: n_tokens = 5, truncated = 0
6.29.144.645 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.429 (> 0.100 thold), f_keep = 0.600
6.29.144.651 I slot launch_slot_: id  1 | task 128 | processing task, is_child = 0
6.29.146.169 I slot      release: id  1 | task 128 | stop processing: n_tokens = 7, truncated = 0
6.29.147.547 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.167 (> 0.100 thold), f_keep = 0.143
6.29.147.553 I slot launch_slot_: id  1 | task 130 | processing task, is_child = 0
6.29.148.959 I slot      release: id  1 | task 130 | stop processing: n_tokens = 6, truncated = 0
6.29.151.052 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.200 (> 0.100 thold), f_keep = 0.167
6.29.151.057 I slot launch_slot_: id  1 | task 132 | processing task, is_child = 0
6.29.152.412 I slot      release: id  1 | task 132 | stop processing: n_tokens = 5, truncated = 0
6.29.154.144 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.200 (> 0.100 thold), f_keep = 0.200
6.29.154.153 I slot launch_slot_: id  1 | task 134 | processing task, is_child = 0
6.29.155.501 I slot      release: id  1 | task 134 | stop processing: n_tokens = 5, truncated = 0
6.29.157.455 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.154 (> 0.100 thold), f_keep = 0.400
